foundid,id,name,party,partyLabel,votes,election,electionLabel,ranking
,Q76362953,Selaine Saxby,Q9626,Conservative Party (UK),31479,Q30173038,General election 2019,1
Q98602806,,Alex White,Q9624,Liberal Democrats (UK),16666,Q30173038,General election 2019,2
Q76364310,,Finola O'Neill,Q9630,Labour Party (UK),5097,Q30173038,General election 2019,3
Q75975639,,Robbie Mack,Q9669,Green Party of England and Wales,1759,Q30173038,General election 2019,4
Q76509772,,Steve Cotten,Q327591,Independent (politician),580,Q30173038,General election 2019,5
,Q7174603,Peter Heaton-Jones,Q9626,Conservative Party (UK),25517,Q25052149,General election 2017,1
,Q478369,Nick Harvey,Q9624,Liberal Democrats (UK),21185,Q25052149,General election 2017,2
,,Mark Cann,Q9630,Labour Party (UK),7063,Q25052149,General election 2017,3
,Q30223613,Stephen Crowther,Q10647,UK Independence Party,1187,Q25052149,General election 2017,4
Q98539512,,Ricky Knight,Q9669,Green Party of England and Wales,753,Q25052149,General election 2017,5
,Q7174603,Peter Heaton-Jones,Q9626,Conservative Party (UK),22341,Q3586935,General election 2015,1
,Q478369,Nick Harvey,Q9624,Liberal Democrats (UK),15405,Q3586935,General election 2015,2
,Q30223613,Steve Crowther,Q10647,UK Independence Party,7719,Q3586935,General election 2015,3
,,Mark Cann,Q9630,Labour Party (UK),3699,Q3586935,General election 2015,4
Q98539512,,Ricky Knight,Q9669,Green Party of England and Wales,3018,Q3586935,General election 2015,5
,,Gerry Sables,Q1120576,Communist Party of Britain,138,Q3586935,General election 2015,6
,Q478369,Nick Harvey,Q9624,Liberal Democrats (UK),24305,Q215622,General election 2010,1
,,Philip Milton,Q9626,Conservative Party (UK),18484,Q215622,General election 2010,2
,Q30223613,Steve Crowther,Q10647,UK Independence Party,3720,Q215622,General election 2010,3
,,Mark Cann,Q9630,Labour Party (UK),2671,Q215622,General election 2010,4
,,L'Anne Knight,Q9669,Green Party of England and Wales,697,Q215622,General election 2010,5
,,Gary Marshall,Q161269,British National Party,614,Q215622,General election 2010,6
,,Rodney Cann,Q327591,Independent (politician),588,Q215622,General election 2010,7
,,Nigel Vidler,Q2479228,English Democrats Party,146,Q215622,General election 2010,8
,,Gerry Sables,Q1120576,Communist Party of Britain,96,Q215622,General election 2010,9
,Q478369,Nick Harvey,Q9624,Liberal Democrats (UK),23840,Q428598,General election 2005,1
,,Orlando Fraser,Q9626,Conservative Party (UK),18868,Q428598,General election 2005,2
,,Mark Cann,Q9630,Labour Party (UK),4656,Q428598,General election 2005,3
,Q6223578,John Browne,Q10647,UK Independence Party,2740,Q428598,General election 2005,4
Q98539512,,Ricky Knight,Q9669,Green Party of England and Wales,1826,Q428598,General election 2005,5
,Q478369,Nick Harvey,Q9624,Liberal Democrats (UK),21784,Q590740,General election 2001,1
,,Clive E.J. Allen,Q9626,Conservative Party (UK),18800,Q590740,General election 2001,2
,,Vivian G. Gale,Q9630,Labour Party (UK),4995,Q590740,General election 2001,3
,Q7358482,Roger Knapman,Q10647,UK Independence Party,2484,Q590740,General election 2001,4
,,Anthony J. Bown,Q9669,Green Party of England and Wales,1191,Q590740,General election 2001,5
,Q478369,Nick Harvey,Q9624,Liberal Democrats (UK),27824,Q918503,General election 1997,1
,Q2036303,Richard Ashworth,Q9626,Conservative Party (UK),21643,Q918503,General election 1997,2
,,"Eithne ""Annie"" Brenton",Q9630,Labour Party (UK),5347,Q918503,General election 1997,3
,Q478369,Nick Harvey,Q9624,Liberal Democrats (UK),27414,Q543609,General election 1992,1
,Q4777250,Tony Speller,Q9626,Conservative Party (UK),26620,Q543609,General election 1992,2
,,Paul Donner,Q9630,Labour Party (UK),3410,Q543609,General election 1992,3
,,Cathrine Simmons,Q9669,Green Party of England and Wales,658,Q543609,General election 1992,4
,,Gray Treadwell,Q491782,Natural Law Party,107,Q543609,General election 1992,5
,Q4777250,Tony Speller,Q9626,Conservative Party (UK),28071,Q918472,General election 1987,1
,,Michael Pinney,Q622441,Liberal Party (UK),23602,Q918472,General election 1987,2
,,Ann Marjoram,Q9630,Labour Party (UK),3467,Q918472,General election 1987,3
,Q4777250,Tony Speller,Q9626,Conservative Party (UK),28066,Q918466,General election 1983,1
,Q7357871,Roger Blackmore,Q622441,Liberal Party (UK),19339,Q918466,General election 1983,2
Q98545170,,Peter James,Q9630,Labour Party (UK),2893,Q918466,General election 1983,3
,,Roger Joanes,Q15980875,Ecology Party (UK),669,Q918466,General election 1983,4
,Q4777250,Tony Speller,Q9626,Conservative Party (UK),31811,Q918450,General election 1979,1
,Q334102,Jeremy Thorpe,Q622441,Liberal Party (UK),23338,Q918450,General election 1979,2
,,Antony John Saltern,Q9630,Labour Party (UK),7108,Q918450,General election 1979,3
,Q24680562,Tony Whittaker,Q15980875,Ecology Party,729,Q918450,General election 1979,4
,,John Morley Price,Q158093,British National Front,237,Q918450,General election 1979,5
,Q5487101,Frank Hansford-Miller,Q5378337,English National Party,142,Q918450,General election 1979,6
,Q2870568,Auberon Waugh,Q98627215,Dog Lover's Party,79,Q918450,General election 1979,7
,,Henrietta Elizabeth Rous,Q7984149,Wessex Regionalist Party,50,Q918450,General election 1979,8
,Q4908179,Bill Boaks,Q98600385,Democratic Monarchist Public Safety White Resident,20,Q918450,General election 1979,9
,Q334102,Jeremy Thorpe,Q622441,Liberal Party (UK),28209,Q918508,General election October 1974,1
,Q4777250,Tony Speller,Q9626,Conservative Party (UK),21488,Q918508,General election October 1974,2
,,Alexandra Jessie Golant,Q9630,Labour Party (UK),8536,Q918508,General election October 1974,3
,Q5487101,Frank Hansford-Miller,Q5378337,English National Party,568,Q918508,General election October 1974,4
,Q334102,Jeremy Thorpe,Q622441,Liberal Party (UK),34052,Q119524,General election February 1974,1
,,Timothy Carleton Keigwin,Q9626,Conservative Party (UK),22980,Q119524,General election February 1974,2
,,Terence Kendrick Marston,Q9630,Labour Party (UK),6140,Q119524,General election February 1974,3
,Q334102,Jeremy Thorpe,Q622441,Liberal Party (UK),18893,Q918442,General election 1970,1
,,Timothy Carleton Keigwin,Q9626,Conservative Party (UK),18524,Q918442,General election 1970,2
,Q5107532,Chris Mullin,Q9630,Labour Party (UK),5268,Q918442,General election 1970,3
,,Barry Gray Morris,Q5255701,"Democratic Party (UK, 1969)",175,Q918442,General election 1970,4
,Q334102,Jeremy Thorpe,Q622441,Liberal Party (UK),16797,Q918430,General election 1966,1
,,Timothy Carleton Keigwin,Q9626,Conservative Party (UK),15631,Q918430,General election 1966,2
,,James H. Rayner,Q9630,Labour Party (UK),6127,Q918430,General election 1966,3
,Q334102,Jeremy Thorpe,Q622441,Liberal Party (UK),19031,Q220208,General election 1964,1
,,Basil Peto,Q9626,Conservative Party (UK),13895,Q220208,General election 1964,2
,,Frank Paton,Q9630,Labour Party (UK),4603,Q220208,General election 1964,3
,Q334102,Jeremy Thorpe,Q622441,Liberal Party (UK),15831,Q918420,General election 1959,1
,Q6138080,James Lindsay,Q9626,Conservative Party (UK),15469,Q918420,General election 1959,2
,,Geoffrey W. Pitt,Q9630,Labour Party (UK),5567,Q918420,General election 1959,3
,Q6138080,James Lindsay,Q9626,Conservative Party (UK),16784,Q918412,General election 1955,1
,Q334102,Jeremy Thorpe,Q622441,Liberal Party (UK),11558,Q918412,General election 1955,2
,Q5661019,Harold Heslop,Q9630,Labour Party (UK),7272,Q918412,General election 1955,3
,Q7526332,Christopher Peto,Q9626,Conservative Party (UK),19780,Q3722280,General election 1951,1
,,William H. Wilkey,Q9630,Labour Party (UK),10632,Q3722280,General election 1951,2
,,G. Alexander Halse,Q622441,Liberal Party (UK),7326,Q3722280,General election 1951,3
,Q7526332,Christopher Peto,Q9626,Conservative Party (UK),17724,Q748667,General election 1950,1
,,Guy Naylor,Q622441,Liberal Party (UK),11640,Q748667,General election 1950,2
,,W.A. Barker,Q9630,Labour Party (UK),8892,Q748667,General election 1950,3
,Q332650,Stafford Northcote,Q9626,Conservative Party (UK),3967,Q2074525,General election 1868,1
,Q7529108,Thomas Dyke Acland,Q622441,Liberal Party (UK),3898,Q2074525,General election 1868,2
,Q26689989,John Walrond,Q9626,Conservative Party (UK),3520,Q2074525,General election 1868,3
,Q6145332,James Wentworth Buller,Q108700,Whigs (British political party),3652,Q4345446,General election 1857,1
,Q5078989,Charles Trefusis,Q9626,Conservative Party (UK),2322,Q4345446,General election 1857,2
,Q332650,Stafford Northcote,Q9626,Conservative Party (UK),2105,Q4345446,General election 1857,3
